content,create_date_time,liked_count,comments_count,shared_count,ip_location,gender
雪王高能量去桃园的一天🍑这桃子看着真好吃 #蜜雪冰城溯源# #蜜桃四季春# 蜜雪冰城 蜜雪冰城的微博视频 ,2025-03-22 18:00:01+08:00,57,20,4,河南,m
蜜雪冰城改成24小时营业，315之后就有护短学生提出这个建议，没想到蜜雪冰城真采纳，现在没有隔夜柠檬了，只有熬夜的柠檬。  #蜜雪冰城被曝黑料网友凭啥护短##蜜雪冰城改24小时营业# ,2025-03-18 16:19:38+08:00,1383,57,27,湖北,m
你们说， 蜜雪冰城被媒体咬住不放， 会不会是因为…… ,2025-03-22 07:20:51+08:00,1610,90,369,上海,m
蜜雪冰城做得很好… 但其他怎么没… ,2025-03-21 23:09:31+08:00,5835,237,112,北京,f
蜜雪冰城这个香芋糯米脆皮圣代好好吃 ,2025-03-22 14:43:20+08:00,107,41,2,辽宁,f
#蜜雪冰城兼职三天喝了两杯奶茶被辞退了# 无论你们怎么麦通稿黑雪王，他都不会塌房，有群众基础在，315到现在这么久了，用315的名恶意抹黑雪王，315没提过半点，你们什么算盘不用说了吧。蜜雪冰城 萌萌哒红色小象的微博视频 ,2025-03-22 10:35:39+08:00,80,17,0,安徽,f
蜜雪冰城门店8代设计 ,2025-03-22 12:00:00+08:00,13,0,2,黑龙江,m
蜜雪冰城用过夜柠檬又怎么了呢？作为一具尸体，能吃上柠檬也算有营养了 ,2025-03-22 10:08:40+08:00,25,2,2,天津,m
门前一家蜜雪冰城貌似比以前更火了。 忍不住给玩伴们买了一兜子柠檬水，以及甜筒🍦 诶呀，有些人越是想打倒的，我就越是想挺它  蜜雪冰城#蜜雪冰城柠檬水# ,2025-03-22 17:48:42+08:00,12,4,1,河北,m
通过DeepSeek了解到了大家支持蜜雪冰城的原因主要有以下几点：  1. **价格亲民**      蜜雪冰城的产品价格较低，尤其适合预算有限的消费者，尤其是学生和年轻人。这种高性价比让它在市场中具有竞争力。  2. **产品多样**      蜜雪冰城提供丰富的饮品选择，如奶茶、果茶、冰淇淋等，满足了不同消费者的 ...全文,2025-03-22 09:42:29+08:00,7,108,0,山东,f
雪王的吸引力超强 在证券上这叫羊群效应 ,2025-03-22 19:48:02+08:00,33,3,0,陕西,m
恭喜这几位中了蜜雪冰城的朋友 ,2025-03-22 20:50:51+08:00,4,0,0,福建,f
我也是终于吃上了蜜雪冰城这个紫色甜筒尊嘟超好吃 ,2025-03-22 20:48:37+08:00,1,0,0,甘肃,m
一下午拍的密密麻麻密密麻麻，回去慢慢选 路口全是格格还有格格骑自行车🚲 没啥合影还衣服前恰一张 蜜雪冰城人多的要打起来了 铜锅好吃！ ,2025-03-22 20:48:25+08:00,0,0,0,北京,f
今晚庄寒雁真的好给力，真想带大家揭竿而起了呀，她拿着那个烛台的样子，还真的很像蜜雪冰城 ,2025-03-22 20:33:30+08:00,142,14,1,福建,f
你爱我我爱你蜜雪冰城甜蜜蜜ʕっ•ᴥ•ʔつ🍯🍯🍯 南通·平潮镇便民服务中心 ,2025-03-22 20:47:28+08:00,0,0,0,江苏,m
今天开心的三件小事 1.又培养了一个摄影搭子 2.蜜雪冰城小哥送了我一个甜筒 3.足浴的小姐姐说我的胳膊和背一看就是健身的，已经被好几个朋友和师妹说年轻了，问我是不是00后行，被夸美了 无锡·南禅寺 ,2025-03-22 20:46:03+08:00,0,0,0,江苏,f
终于不用喝蜜雪冰城了…… ,2025-03-22 20:45:43+08:00,0,0,0,湖北,m
昨天有条抽奖的微博被夹了，没法抽了。  所以，这里重新做一个抽奖博。  要求改成：①评论；②铁粉。  明晚8点开。  还是蜜雪小甜水，25杯。 ,2025-03-22 20:32:17+08:00,13,35,2,北京,m
蜜雪冰城的香芋味冰淇淋和小时候吃的顶喜香芋大甜筒一个味 ,2025-03-22 20:43:54+08:00,0,0,0,山东,f
#生活手记#最近天气很好 每天下班都可以看到日落 很美 很治愈 公司旁边就是麦当劳 明明是像往常一样回家 今天却很想吃薯条 麦当劳只有薯条是好吃的 但是量也是真的小 去买薯条时候我憋着小便 但还是被路边的小花吸引 它很小 小到我仔细看之前 都没发现它长得这么可爱 今天快乐的事情有很多 （比如我被 ...全文,2025-03-22 20:43:20+08:00,0,0,0,浙江,m
蜜雪家的圣代谁不吃谁后悔我就这么说吧 ,2025-03-22 20:42:56+08:00,0,1,0,河南,f
#一天喝了四杯奶茶#  回到家就只能喝蜜雪 上街随便逛逛买了两杯 临走时回家又买了两杯 现在吃完饭躺床上左手果茶 右手奶茶🧋 蜜雪我对你这么好 你拿什么还 ,2025-03-22 20:42:54+08:00,0,1,0,安徽,f
以前不买蜜雪冰城的，这么一看高低得买一杯,2025-03-22 20:42:38+08:00,0,0,0,上海,f
我这杯冰鲜柠檬水为啥只有2片柠檬啊#蜜雪冰城# ,2025-03-22 20:42:38+08:00,0,0,0,江西,m
蜜雪店里人比平常多，挺好，无耻的媒体开始输了。 ,2025-03-22 20:41:35+08:00,6,0,0,北京,m
蜜雪冰城：抱歉，我有错  网友&amp;顾客：退到我身后去，我来喷死这帮孙子！ ,2025-03-21 20:01:40+08:00,5433,184,153,四川,f
荣耀茶话会  （在隔壁发没有人，不知道这里有没有人）想问问老婆有没有多余的主线通的光夜号，突然想回游了，想看看剧情!请宝宝喝个蜜雪冰城的茉莉奶绿（6r）希望宝宝不介意的话，我可能会一直玩这个号，但是平时很忙，希望是无要求玩这个号，我是安卓的 ,2025-03-22 20:39:37+08:00,1,15,0,广东,f
很明显，那些疯狂撕咬的，就是冲着这个去的呗，要不然就🍋隔夜，至于么,2025-03-22 20:19:39+08:00,407,43,99,北京,m
蜜雪冰城：抱歉，我有错  网友&amp;顾客：退到我身后去，我来喷死这帮孙子！ ,2025-03-21 20:01:40+08:00,5433,184,153,四川,f
荣耀茶话会  （在隔壁发没有人，不知道这里有没有人）想问问老婆有没有多余的主线通的光夜号，突然想回游了，想看看剧情!请宝宝喝个蜜雪冰城的茉莉奶绿（6r）希望宝宝不介意的话，我可能会一直玩这个号，但是平时很忙，希望是无要求玩这个号，我是安卓的 ,2025-03-22 20:39:37+08:00,1,15,0,广东,f
很明显，那些疯狂撕咬的，就是冲着这个去的呗，要不然就🍋隔夜，至于么,2025-03-22 20:19:39+08:00,412,44,99,北京,m
一梦江湖 下午刷到有一位少侠跑了三家蜜雪冰城都没有找到香芋脆皮小圣代，一下子就被狠狠安利了！已尝试，敲好吃！适用于喜欢吃香芋味的少侠 ,2025-03-22 20:39:16+08:00,2,3,0,安徽,f
一下课就是香芋甜筒配KFC 我爱蜜雪冰城的香芋甜筒 不用上课啦 风都是甜的 养成了吃东西前先拍照 ,2025-03-22 20:38:25+08:00,0,0,0,安徽,f
刚路过楼下蜜雪冰城。我妈说装修好喜庆，像搞婚庆活动似的，坐里面像新娘👰。（这回答太出乎我的意料了，就是忘了拍一张） 哈哈哈 ,2025-03-22 20:38:24+08:00,0,0,0,陕西,f
#蜜雪冰城兼职三天喝了两杯奶茶被辞退了# 无论你们怎么麦通稿黑雪王，他都不会塌房，有群众基础在，315到现在这么久了，用315的名恶意抹黑雪王，315没提过半点，你们什么算盘不用说了吧。蜜雪冰城 萌萌哒红色小象的微博视频 ,2025-03-22 10:35:39+08:00,80,17,0,安徽,f
蜜雪冰城这个香芋糯米脆皮圣代好好吃 ,2025-03-22 14:43:20+08:00,107,41,2,辽宁,f
蜜雪冰城给的真的越来越少了膨胀了啊小雪 ,2025-03-22 20:34:13+08:00,0,1,0,海南,f
我靠我真的爱上这个星巴克了，买星巴克总会不自觉地套上其他品牌的杯套，因为害怕我的购买频率让身边的人自卑进而产生距离感。低调一直是我们家的家训，我也十分讨厌让别人产生不适的情绪，所以一直用蜜雪冰城和瑞幸示人。直到有一天同学请大家喝星巴克，其他人都支支吾吾半天不知道该点什么，等到了我 ...全文,2025-03-22 20:32:25+08:00,0,0,0,河南,f
蜜雪冰城这个香芋糯米脆皮圣代好好吃 ,2025-03-22 14:43:20+08:00,107,41,2,辽宁,f
蜜雪冰城给的真的越来越少了膨胀了啊小雪 ,2025-03-22 20:34:13+08:00,0,1,0,海南,f
